Vuosi;Tunnusluku;Helsingin seudun liikenne;Hämeenlinna;Lahti;Riihimäki;Hyvinkää;Lappeenranta;Imatra;Kotka;Kouvola;Mikkeli;Savonlinna;Joensuu;Kuopio;Kokkola;Seinäjoki;Vaasa;Jyväskylä;Tampere;Turku;Pori;Rauma;Salo;Oulu;Kajaani;Kemi;Rovaniemi;Uusimaa;Kaakkois-Suomi;Pohjois-Savo;Etelä-Pohjanmaa;Keski-Suomi;Pirkanmaa;Varsinais-Suomi;Pohjois-Pohjanmaa;Lappi
2013;Joukkoliikenteen lippualue;HSL;Hämeenlinna;Lahti;Riihimäki;Hyvinkää;Lappeenranta;Imatra;Kotka;Kouvola;Mikkeli;Savonlinna;Joensuu;Kuopio;Kokkola;Seinäjoki;Vaasa;Jyväskylä;Tampere;Turku;Pori;Rauma;Salo;Oulu;Kajaani;Kemi;Rovaniemi;;;;;;;;;
2013;Toimivaltainen viranomainen:;HSL;Hämeenlinna;Lahti;Riihimäki;Hyvinkää;Lappeenranta;Imatra;Kotka;Kouvola;Mikkeli;Savonlinna;Joensuu;Kuopio;Kokkola;Seinäjoki;Vaasa;Jyväskylä;Tampere;Turku;Pori;Rauma;Salo;Oulu;Kajaani;Kemi;Rovaniemi;UUD-ELY;KaS-ELY;PoS-ELY;EPO-ELY;KES-ELY;PIR-ELY;VAR-ELY;POP-ELY;LAP-ELY
2013;Brutto: Lipputulot kausilipuista kuukaudessa;11717482,73;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;758666,6667;469083,3333;0;0;0;0;0;0;3050;0;0;0;0;0;0;0;2484,583333;0
2013;Brutto: Lipputulot yhteensä;277868673,7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28349000;16151750;0;0;0;0;0;0;48800;0;0;0;0;0;0;0;179504;0
2013;Brutto: Lipputulot yhteensä kuukaudessa;23155722,81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2362416,667;1345979,167;0;0;0;0;0;0;4066,666667;0;0;0;0;0;0;0;14958,66667;0
2013;Brutto: Liikennöintikustannukset;441337388,6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38958174;36208000;0;563316,37;0;0;0;0;370500;0;0;0;0;0;0;0;486198;0
2013;KOS: Nousijat vuodessa;0;204000;0;142119;0;0;0;0;109677,5;0;24828;0;4688327;0;471589;0;55680;5493;0;0;0;0;181468;0;0;0;0;131169,96;681240;511963;283400;196257;350000;483900;260000
2013;KOS: Nousijat kuukaudessa;0;17000;0;11843,25;0;0;0;0;9139,791667;0;2069;0;390693,9167;0;39299,08333;0;4640;457,75;0;0;0;0;15122,33333;0;0;0;0;10930,83;56770;42663,58333;23616,66667;16354,75;29166,66667;40325;21666,66667
2013;KOS: Linjakilometrit vuodessa;0;750000;0;309348;0;0;0;0;357885,5;0;71768;180000;4329293;0;588400;0;180779;84497;0;0;0;0;180480;0;0;0;1363220;669936;4059483;2590378;1457100;1179004;1470000;3431208;2980000
2013;KOS: Linjakilometrit kuukaudessa;0;62500;0;25779;0;0;0;0;29823,79167;0;5980,666667;15000;360774,4167;0;49033,33333;0;15064,91667;7041,416667;0;0;0;0;15040;0;0;0;113601,6667;55828;338290,25;215864,8333;121425;98250,33333;122500;285934;248333,3333
2013;KOS: Lähdöt vuodessa;0;0;0;28955;0;0;0;0;12309;0;0;0;0;0;23840;0;0;2410;0;0;0;0;23760;0;0;0;35441;13699,92;56296;57690;27220;19848;31000;43542;22740
2013;KOS: Lähdöt kuukaudessa;0;0;0;2412,916667;0;0;0;0;1025,75;0;0;0;0;0;1986,666667;0;0;200,8333333;0;0;0;0;1980;0;0;0;2953,416667;1141,66;4691,333333;4807,5;2268,333333;1654;2583,333333;3628,5;1895
